distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
28182.3,5106,240.2,164.0,4976,159.0
25858.1,3690,213.2,152.8,3533,44.0
28020.2,4628,236.4,157.0,4628,152.0
27261.3,4131,204.4,139.8,3834,36.0
28083.8,4363,226.8,143.0,4363,155.0
24978.1,3653,197.4,132.8,3551,36.0
27793.7,5093,231.8,150.2,4836,153.0
24997.0,3692,212.2,149.2,3626,50.0
27955.0,4637,249.0,169.0,4558,150.0
25816.8,3876,219.4,156.6,3820,49.0
28576.8,4749,254.4,173.2,4694,148.0
25638.4,3785,225.4,161.8,3718,40.0
29382.4,5105,272.2,0.0,5004,167.0
25659.6,3741,235.8,173.6,3741,38.0
27860.0,4478,283.2,199.6,4478,168.0
27220.9,3982,247.0,182.8,3887,41.0
27803.1,4862,281.0,198.2,4529,156.0
25669.9,3694,244.8,180.2,3694,36.0
27748.1,4751,287.0,205.2,4553,157.0
25006.4,3732,265.8,0.0,3658,43.0
27880.1,4161,265.0,183.2,4096,157.0
27220.3,3958,236.2,170.6,3895,49.0
28662.4,4395,275.4,178.8,4395,187.0
25009.3,4146,252.2,183.8,4076,51.0
27750.1,4143,290.0,217.2,4126,156.0
26176.4,4124,267.6,205.0,3711,48.0
27902.6,4219,277.6,193.4,4219,168.0
25540.2,3634,233.0,171.6,3589,42.0
19915.1,4556,210.6,183.0,4026,49.0
25670.3,3974,225.4,161.4,3902,44.0
27765.8,4813,252.6,169.2,4813,153.0
25013.8,3925,208.8,146.0,3803,44.0
192315.0,34235,537.6,130.8,27079,1744.0
27763.8,5037,264.8,186.8,5037,155.0
